epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7036,0.76255,1.05885,1.15966,0.96092,0.9221,0.98075,0.73545,0.89569,0.84056,0.86024,0.0006658,0.0006658,0.0006658
2,85.0485,0.69384,0.59926,1.10982,0.94769,0.94375,0.96975,0.78931,0.76535,0.65764,0.81209,0.00132147,0.00132147,0.00132147
3,126.769,0.65198,0.5485,1.07388,0.96294,0.97448,0.9892,0.84927,0.62689,0.50477,0.7106,0.00196615,0.00196615,0.00196615
4,168.36,0.59053,0.48422,1.04271,0.95727,0.98015,0.99038,0.80527,0.78948,0.51283,0.80372,0.0019505,0.0019505,0.0019505
5,206.694,0.55345,0.45735,1.0256,0.99129,0.975,0.98618,0.85592,0.56346,0.50483,0.68494,0.001934,0.001934,0.001934
6,244.567,0.52737,0.43297,1.01516,0.99123,0.99167,0.9947,0.91423,0.4628,0.34697,0.65371,0.0019175,0.0019175,0.0019175
7,282.486,0.50518,0.40561,1.00536,0.99144,0.98958,0.99397,0.89175,0.55322,0.38391,0.7546,0.001901,0.001901,0.001901
8,320.423,0.47741,0.3902,0.98883,0.98548,0.9897,0.9941,0.93401,0.48008,0.40609,0.65557,0.0018845,0.0018845,0.0018845
9,358.437,0.46562,0.37624,0.98277,0.99168,0.9935,0.99448,0.92579,0.4878,0.38939,0.71023,0.001868,0.001868,0.001868
10,396.479,0.45059,0.35694,0.97225,0.99164,0.98852,0.99464,0.9293,0.46663,0.41662,0.66253,0.0018515,0.0018515,0.0018515
11,434.531,0.45489,0.36196,0.97484,0.98229,0.99167,0.99339,0.92766,0.47939,0.34282,0.67869,0.001835,0.001835,0.001835
12,473.685,0.43514,0.34678,0.96641,0.98955,0.99167,0.99481,0.93291,0.5028,0.45845,0.6947,0.0018185,0.0018185,0.0018185
13,512.842,0.42851,0.34115,0.96282,0.99169,0.99499,0.99386,0.88499,0.5382,0.37097,0.68454,0.001802,0.001802,0.001802
14,552.038,0.42908,0.33465,0.96665,0.99155,0.9875,0.99377,0.87441,0.53224,0.41395,0.71417,0.0017855,0.0017855,0.0017855
15,591.125,0.41179,0.33015,0.96285,0.99584,0.99767,0.99485,0.93643,0.45667,0.32068,0.6611,0.001769,0.001769,0.001769
16,630.192,0.41505,0.33158,0.96046,0.99049,0.99792,0.99383,0.92466,0.48426,0.33455,0.66908,0.0017525,0.0017525,0.0017525
17,669.407,0.39995,0.31538,0.95274,0.99327,0.99792,0.99443,0.92823,0.48563,0.36621,0.65803,0.001736,0.001736,0.001736
18,708.466,0.39896,0.31049,0.94927,0.9958,0.98699,0.9947,0.94253,0.42008,0.31841,0.64911,0.0017195,0.0017195,0.0017195
19,747.716,0.39237,0.31041,0.95164,0.99791,0.99327,0.99471,0.94977,0.39711,0.30028,0.64297,0.001703,0.001703,0.001703
20,786.916,0.38659,0.3019,0.94549,0.99501,0.99583,0.99485,0.92335,0.4609,0.32656,0.64898,0.0016865,0.0016865,0.0016865
21,826.064,0.38388,0.30269,0.94394,0.98979,0.99167,0.99473,0.91249,0.45867,0.31086,0.66395,0.00167,0.00167,0.00167
22,865.198,0.36878,0.28992,0.94053,0.99377,0.99739,0.99468,0.94598,0.4179,0.2928,0.65509,0.0016535,0.0016535,0.0016535
23,904.251,0.37228,0.29232,0.93561,0.99383,0.99167,0.99485,0.93637,0.45162,0.29341,0.68427,0.001637,0.001637,0.001637
24,942.455,0.37125,0.2913,0.94121,0.99336,0.99583,0.99473,0.92979,0.45817,0.30906,0.66359,0.0016205,0.0016205,0.0016205
25,981.382,0.36559,0.28662,0.93375,0.9914,0.98958,0.99344,0.9402,0.43525,0.29672,0.64084,0.001604,0.001604,0.001604
26,1020.07,0.35884,0.28158,0.92836,0.99737,0.99583,0.99485,0.93969,0.42945,0.28653,0.64938,0.0015875,0.0015875,0.0015875
27,1059.28,0.36043,0.2814,0.93186,0.99526,0.99375,0.99479,0.94482,0.43811,0.26234,0.66298,0.001571,0.001571,0.001571
28,1098.05,0.35849,0.27981,0.93599,0.99791,0.99709,0.99469,0.95584,0.41467,0.23808,0.66101,0.0015545,0.0015545,0.0015545
29,1142.61,0.34733,0.27222,0.92866,0.99356,0.99792,0.99471,0.95174,0.40652,0.25603,0.64491,0.001538,0.001538,0.001538
30,1185.3,0.35133,0.27318,0.93068,0.99166,0.99792,0.99462,0.93912,0.40466,0.24356,0.64396,0.0015215,0.0015215,0.0015215
31,1224.36,0.35187,0.26948,0.92789,0.99555,0.99583,0.99485,0.9324,0.44895,0.27127,0.65529,0.001505,0.001505,0.001505
32,1263.55,0.347,0.27109,0.92834,0.99791,0.99532,0.99477,0.94739,0.41235,0.25137,0.63362,0.0014885,0.0014885,0.0014885
33,1302.71,0.34406,0.26806,0.92493,0.99358,0.99792,0.99454,0.93188,0.4557,0.25354,0.66374,0.001472,0.001472,0.001472
34,1341.24,0.34062,0.26053,0.92555,0.99767,0.99375,0.99471,0.94519,0.43735,0.26124,0.65215,0.0014555,0.0014555,0.0014555
35,1377.93,0.33986,0.2633,0.92669,0.99562,0.99792,0.99483,0.95312,0.42816,0.29406,0.65123,0.001439,0.001439,0.001439
36,1415.19,0.33728,0.26131,0.92451,0.99534,0.99583,0.99477,0.94664,0.39792,0.25633,0.63003,0.0014225,0.0014225,0.0014225
37,1453.79,0.33673,0.25882,0.92126,0.99709,0.99167,0.99492,0.95965,0.37028,0.31314,0.63285,0.001406,0.001406,0.001406
38,1493.09,0.33602,0.2569,0.9255,0.97848,0.99583,0.9922,0.94069,0.45051,0.27686,0.65118,0.0013895,0.0013895,0.0013895
39,1530.5,0.33816,0.25573,0.92102,0.99788,0.99375,0.9949,0.95394,0.40584,0.24777,0.64193,0.001373,0.001373,0.001373
40,1567.34,0.32163,0.24749,0.91598,0.99504,0.99792,0.99426,0.95376,0.40233,0.23376,0.64953,0.0013565,0.0013565,0.0013565
41,1605.8,0.32596,0.25285,0.91704,0.99144,0.99792,0.99436,0.94972,0.42463,0.24994,0.6561,0.00134,0.00134,0.00134
42,1642.53,0.32319,0.24861,0.91675,0.99765,0.99792,0.99496,0.94896,0.41988,0.2444,0.65009,0.0013235,0.0013235,0.0013235
43,1679.38,0.32394,0.24667,0.91788,0.99792,0.99764,0.99492,0.94371,0.42313,0.24912,0.638,0.001307,0.001307,0.001307
44,1716.27,0.32234,0.24546,0.91729,0.99761,0.99792,0.99483,0.95981,0.37899,0.25804,0.63306,0.0012905,0.0012905,0.0012905
45,1753.28,0.3196,0.24534,0.91861,0.99791,0.99528,0.99483,0.95506,0.39727,0.24687,0.65681,0.001274,0.001274,0.001274
